Year,URL
2022,https://www.purdue.edu/newsroom/2022/Q2/student-affordability-faculty-and-staff-compensation-strategic-investments-highlight-2023-purdue-budget
2022,https://www.purdue.edu/newsroom/2022/Q2/todays-top-5-from-purdue-university-45
2022,https://www.purdue.edu/newsroom/2022/Q2/environmentally-sustainable-commercial-adhesive-from-purdue-is-optioned-to-glueco-adhesives
2022,https://www.purdue.edu/newsroom/2022/Q2/purdue-university-purdue-polytechnic-institute-and-purdue-university-global-collaborating-on-partnership-with-the-university-of-puerto-rico
2022,https://www.purdue.edu/newsroom/2022/Q2/purdue-university-purdue-polytechnic-institute-and-purdue-university-global-collaborating-on-partnership-with-the-university-of-puerto-rico-2
2022,https://www.purdue.edu/newsroom/2022/Q2/purdue-to-offer-100-online-aviation-financial-management-graduate-certificate
2022,https://www.purdue.edu/newsroom/2022/Q2/purdue-university-global-partnering-with-dallas-county-hospital-on-innovative-learning-model-featuring-state-of-the-art-simulation-center
2022,https://www.purdue.edu/newsroom/2022/Q2/integration-leads-to-leap-in-tech-for-forest-inventory-management
2022,https://www.purdue.edu/newsroom/2022/Q2/an-edible-qr-code-takes-a-shot-at-fake-whiskey
2022,https://www.purdue.edu/newsroom/2022/Q2/surprise-8-5-million-estate-gift-will-fund-more-than-40-years-of-cancer-research
2022,https://www.purdue.edu/newsroom/2022/Q2/how-stress-can-affect-our-relationships-new-video-uploaded-to-ap-video-hub
2022,https://www.purdue.edu/newsroom/2022/Q2/appointments-honors-and-activities-14
2022,https://www.purdue.edu/newsroom/2022/Q2/todays-top-5-from-purdue-university-44
2022,https://www.purdue.edu/newsroom/2022/Q2/salt-may-be-the-key-to-life-on-earth-and-beyond
2022,https://www.purdue.edu/newsroom/2022/Q2/purdue-polytechnic-high-schools-to-celebrate-several-firsts-with-upcoming-graduation
2022,https://www.purdue.edu/newsroom/2022/Q2/purdue-university-police-installing-license-plate-reading-cameras-to-help-solve-crime
2022,https://www.purdue.edu/newsroom/2022/Q2/appointments-honors-and-activities-11
2022,https://www.purdue.edu/newsroom/2022/Q2/purdue-launches-nations-first-comprehensive-semiconductor-degrees-program
2022,https://www.purdue.edu/newsroom/2022/Q2/purdue-university-global-school-of-nursing-partners-with-the-daisy-foundation-to-honor-nurses
2022,https://www.purdue.edu/newsroom/2022/Q2/todays-top-5-from-purdue-university-43
2022,https://www.purdue.edu/newsroom/2022/Q2/purdues-mark-on-the-indianapolis-500
2022,https://www.purdue.edu/newsroom/2022/Q2/purdue-rolls-royce-sign-10-year-75-million-strategic-alliance-agreement
2022,https://www.purdue.edu/newsroom/2022/Q2/purdue-announces-search-committee-for-next-chief-of-police
